##################################################
         Track rate for each run number           
##################################################
runnum :318778 , # of tracks :372       , track rates :2.75      
runnum :318780 , # of tracks :3027      , track rates :2.37      
runnum :318830 , # of tracks :1736      , track rates :2.28      
runnum :318767 , # of tracks :1126      , track rates :2.30      
runnum :318741 , # of tracks :16143     , track rates :2.37      
runnum :318781 , # of tracks :55        , track rates :3.82      
runnum :318142 , # of tracks :10334     , track rates :2.29      
runnum :318821 , # of tracks :5634      , track rates :1.78      
runnum :318839 , # of tracks :1630      , track rates :2.37      
runnum :319225 , # of tracks :1         , track rates :0.01      
runnum :318519 , # of tracks :8         , track rates :2.92      
runnum :318172 , # of tracks :529       , track rates :2.78      
runnum :318517 , # of tracks :6697      , track rates :2.70      
runnum :318633 , # of tracks :1240      , track rates :0.38      
runnum :319377 , # of tracks :658       , track rates :1.78      
runnum :319352 , # of tracks :4172      , track rates :2.38      
runnum :319327 , # of tracks :1         , track rates :186.01    
runnum :319329 , # of tracks :28976     , track rates :2.38      
runnum :319379 , # of tracks :927       , track rates :1.83      
runnum :319351 , # of tracks :23364     , track rates :2.39      
runnum :319353 , # of tracks :10421     , track rates :2.01      
runnum :319594 , # of tracks :6660      , track rates :2.45      
runnum :319727 , # of tracks :1229      , track rates :2.40      
