##################################################
         Track rate for each run number           
##################################################
runnum :290130 , # of tracks :3049      , track rates :2.56      
runnum :291843 , # of tracks :20857     , track rates :2.55      
runnum :290358 , # of tracks :7645      , track rates :2.45      
runnum :291911 , # of tracks :2116      , track rates :2.65      
runnum :291306 , # of tracks :163       , track rates :0.29      
runnum :291779 , # of tracks :2258      , track rates :2.82      
runnum :292247 , # of tracks :12416     , track rates :1.59      
runnum :291950 , # of tracks :36222     , track rates :1.62      
runnum :292474 , # of tracks :112       , track rates :2.94      
runnum :291339 , # of tracks :25432     , track rates :2.71      
runnum :291865 , # of tracks :39374     , track rates :2.75      
runnum :291385 , # of tracks :58791     , track rates :1.58      
runnum :292360 , # of tracks :176       , track rates :2.85      
runnum :292269 , # of tracks :50898     , track rates :1.75      
runnum :292592 , # of tracks :20817     , track rates :2.69      
runnum :290912 , # of tracks :8220      , track rates :2.37      
runnum :292219 , # of tracks :1080      , track rates :2.68      
runnum :290800 , # of tracks :2139      , track rates :2.54      
runnum :292283 , # of tracks :60595     , track rates :1.44      
runnum :290198 , # of tracks :25170     , track rates :2.39      
runnum :290126 , # of tracks :7607      , track rates :2.49      
runnum :290922 , # of tracks :15194     , track rates :2.49      
runnum :291894 , # of tracks :197       , track rates :0.10      
runnum :292257 , # of tracks :20455     , track rates :2.69      
runnum :292593 , # of tracks :48764     , track rates :2.71      
runnum :291857 , # of tracks :2094      , track rates :2.65      
runnum :292079 , # of tracks :30281     , track rates :2.43      
runnum :292471 , # of tracks :64        , track rates :2.85      
runnum :291884 , # of tracks :105       , track rates :0.37      
runnum :291950 , # of tracks :59256     , track rates :1.73      
runnum :292221 , # of tracks :33        , track rates :3.55      
runnum :292284 , # of tracks :3013      , track rates :2.59      
runnum :291223 , # of tracks :7817      , track rates :2.50      
runnum :292234 , # of tracks :39093     , track rates :2.66      
runnum :292248 , # of tracks :96        , track rates :4.34      
runnum :291299 , # of tracks :1164      , track rates :0.29      
runnum :290892 , # of tracks :729       , track rates :2.30      
runnum :290803 , # of tracks :53270     , track rates :2.52      
runnum :291800 , # of tracks :2625      , track rates :0.36      
runnum :291348 , # of tracks :4671      , track rates :2.52      
runnum :292076 , # of tracks :345       , track rates :2.65      
runnum :291315 , # of tracks :48687     , track rates :2.72      
runnum :291684 , # of tracks :58944     , track rates :1.95      
runnum :293104 , # of tracks :111       , track rates :3.30      
runnum :291314 , # of tracks :472       , track rates :2.84      
runnum :291316 , # of tracks :51920     , track rates :2.72      
runnum :291778 , # of tracks :38303     , track rates :2.73      
runnum :292281 , # of tracks :8664      , track rates :2.66      
runnum :291684 , # of tracks :60432     , track rates :1.39      
runnum :292275 , # of tracks :12958     , track rates :2.58      
runnum :292499 , # of tracks :679       , track rates :0.28      
runnum :291951 , # of tracks :1245      , track rates :2.73      
runnum :290793 , # of tracks :93        , track rates :3.89      
runnum :291702 , # of tracks :4115      , track rates :1.10      
runnum :290501 , # of tracks :637       , track rates :2.44      
runnum :291505 , # of tracks :3718      , track rates :2.59      
runnum :291807 , # of tracks :388       , track rates :0.37      
runnum :292065 , # of tracks :553       , track rates :2.69      
runnum :292205 , # of tracks :20018     , track rates :2.45      
runnum :290505 , # of tracks :882       , track rates :2.61      
runnum :291319 , # of tracks :2671      , track rates :2.52      
runnum :292224 , # of tracks :423       , track rates :2.61      
